case_T_hot,node,r,z,u_r,u_z,u_swirl,pressure,T
1765.0,3384,0.004986136477,0.09926059113,0.0007684650373,-0.0001123538188,-0.02775185917,-0.4473907271,1720.410322
1765.0,3385,0.005702313501,0.09935009921,0.0008494190024,-0.0001447285191,-0.02728656954,-0.4492665952,1720.27155
1765.0,3386,0.1267507799,0.09935549833,0.006082813057,0.0007954343091,0.05934539579,-2.244025637,1705.899808
1765.0,3387,0.0900387783,0.0993994699,-0.003283590082,-0.00163556867,0.03116448101,-0.7177287059,1708.950313
1765.0,3388,0.006469987038,0.09944604335,0.000928511465,-0.0001833625018,-0.02678711396,-0.4510610446,1720.124007
1765.0,3389,0.05154155658,0.09954069016,-0.002983266277,-0.003705238473,0.004093235633,-0.2780823484,1715.128296
1765.0,3390,0.007292859931,0.09954888633,0.001004673519,-0.000229057053,-0.02625094647,-0.4527479217,1719.967646
1765.0,3391,0.1286440257,0.09961437134,0.006331436961,0.0007479420539,0.06122735075,-2.334901547,1704.951719
1765.0,3392,0.008174901275,0.09965912421,0.001076665568,-0.0002826769894,-0.02567532505,-0.4542971956,1719.802556
1765.0,3393,0.009120365561,0.09977728871,0.001143060386,-0.0003451476114,-0.02505729469,-0.4556736684,1719.628994
1765.0,3394,0.1304102701,0.09985587881,0.006490083507,0.0006932838555,0.0630291103,-2.424250248,1703.915433
1765.0,3395,0.0101338132,0.09990394979,0.001202226053,-0.0004174486485,-0.02439366853,-0.4568349406,1719.447417
1765.0,3396,0.09439471162,0.09998681232,-0.002491129314,-0.001265680638,0.03445142912,-0.8324946824,1708.620703
1765.0,3397,0.01122013251,0.1000397184,0.001252309279,-0.0005006044066,-0.0236810066,-0.4577294419,1719.258525
1765.0,3398,0.05560528838,0.100072863,-0.003494883788,-0.003833774318,0.006939095976,-0.2550180776,1714.637572
1765.0,3399,0.1320580326,0.1000811857,0.006565102878,0.0006344163708,0.06475116633,-2.512572984,1702.814264
1765.0,3400,0.01238456332,0.1001852494,0.001291219679,-0.000595669438,-0.02291559166,-0.4582944657,1719.063299
1765.0,3401,0.1335952611,0.1002913786,0.006563643476,0.000573712877,0.06639413755,-2.600843479,1701.671383
1765.0,3402,0.0136327222,0.1003412448,0.001316615614,-0.000703708778,-0.02209340164,-0.458453897,1718.863042
1765.0,3403,0.1350293704,0.1004874716,0.006493310408,0.0005129608323,0.06795885078,-2.687897907,1700.508353
1765.0,3404,0.01497062961,0.100508457,0.00132589322,-0.0008257715302,-0.0212100779,-0.4581149664,1718.659415
1765.0,3405,0.09845844342,0.1005347551,-0.00160285281,-0.0009215486196,0.0375787196,-0.9512612968,1708.427791
1765.0,3406,0.0599612217,0.1006433015,-0.003977735268,-0.003900455359,0.0100318503,-0.2360406011,1714.008986
